Area	Medium	First name	Last name	Business name	Website	Artist statement
JURIED SHOW	Ceramics	Lisa	Tantillo	Calou Calay	https://Hwww.caloucalay.com	Hand thrown and altered sculptural functional ware in porcelain and stoneware, glazed in my home-mixed glazes, fired oxidation to cone 6 and Raku.
JURIED SHOW	Ceramics	JEAN	THOMAS	ANJEL CREATIONS	n/a	Handmade ceramics for home and garden
JURIED SHOW	Ceramics	Sarah	Vekasi	Sarah Sunshine Pottery	http://sarahsunshinepottery.com	I hand make and sign each piece on a speckled stoneware clay, fire in an oxidation kiln, and glaze with a unique signature from glazes I formulate from scratch.
JURIED SHOW	Drawing / Printmaking	Thomas	Burns	Atlanta Vintage Travel	www.AtlantaVintageTravel.com	All new illustrations of Atlanta landmarks and college game day mascots, created in a retro style.
JURIED SHOW	Drawing / Printmaking	Eli	Helman	Eli Helman Ink	https://www.elihelman.com	Ink drawings created by self-taught artist with Micron pens on paper. Blending intricately detailed modern & folk styles into eclectic subjects, some pieces take more than 100 hours to complete.
JURIED SHOW	Drawing / Printmaking	Chandra	Jennings	Board to Art	n/a	Scratchboard: hand rendering through a top coat of black ink into a center coat of white clay. Basically a manual etching process. Reverse of pencil, adding light instead of dark. Masonite board.
JURIED SHOW	Drawing / Printmaking	Michael	Paul	Treksalot	https://www.treksalot.com	My creative process involves hand-sketching ideas on paper, scanning completed outlines into a computer and then adding in details and coloring in Adobe Illustrator/Photoshop.
JURIED SHOW	Drawing / Printmaking	Larry & Sherry	Paulsen	n/a	www.cityartmarket.com	graphic art printmaking - limited editions - hand drawings & colored by husband & wife artist team.
JURIED SHOW	Drawing / Printmaking	Rachel	Shurbutt	Huck and Harbor	https://www.huckandharbor.com	Custom life-like pet portraits in pastels, using a mix of blending techniques and pencil work to bring life to the page.
JURIED SHOW	Drawing / Printmaking	Andrew	Swartz	skullgarden	https://skullgarden.net	Colored pencil, acrylic, and gouache mixed media paintings on wood of hypnagogic scenarios, innerspace exploration, and the happiness of pursuit.
JURIED SHOW	Fiber / Clothing	Tony	Alvarez	Dark Cycle Clothing	darkcycleclothing.com	Hand Drawn, Hand Screen Printed Apparel Uniquely Designed with Animals on Bikes!!!
JURIED SHOW	Fiber / Clothing	Benjarat	Batchelder	n/a	https://www.etsy.com/shop/MemieCouture	I craft handcraft women's apparel, specifically tops and dresses. I personally design and sew each piece in my collection. Every design is unique and represents my dedication to my work.
JURIED SHOW	Fiber / Clothing	Clay	Bush	Salvage	Salvagegoodstn.com	Purses messenger bags wallets clutches pouches computer sleeves tablet sleeves and more. Interior pockets are made from undeployed air bags.All materials are harvested washed and sewn by the artist.
JURIED SHOW	Fiber / Clothing	Dawn	De Santo	handjive	https://hhandjiveclothing.com	I design patterns for the realistic female form. Layered fabrics are cut from patterns w/ electric shears, then assembled w/ a 5 thread serger. Pieces are embellished w/ appliquÃ©s & hand stamping.
JURIED SHOW	Fiber / Clothing	Margaret	Doyle	Bledsoe Bags	https://www.bledsoessewnsew.com	Bledsoe Bags is two sisters who love fabric and the stories that go with it. We use new and pre-loved fabric to make unique bags, large and small, because we believe everything deserves a gorgeous bag
JURIED SHOW	Fiber / Clothing	Black Sheep	Goods	n/a	etsy.com/shop/blacksheepgoods615	Ice Dyeing a new form of dyeing that creates one of a kind clothing. I apply the ice on top fo the clothes, then the dye on top of that. Once it melts it creates a watercolor effect.
JURIED SHOW	Fiber / Clothing	Kathryn	Wieldraayer	Rangemark	rangemarktextiles.com	Each product is block printed by hand in our Chattanooga, TN studio onto 100% cotton dish towels, napkins, tote bags, and onesies. We use water based textile ink.
JURIED SHOW	Fiber / Clothing	May	Yang	May's Stitchery	n/a	Hand cross stitched pieces sewn onto jackets, wall hangings, wallets, purses, & pillows. Hand embroidered wall hangings, jackets, & pillows. Reverse applique pieces for wall hanging, pillows, & purses
JURIED SHOW	Fiber / Clothing	Zhiyong	Ye	n/a	n/a	With a specialty in painting on white silk.
JURIED SHOW	Fiber / Clothing	Lena	Zolotarev	Pixie + Thistle	pixieandthistle.com	My items are all handmade, I dye my premium wool blend felt using a hot dye technique. The felt is hand cut my embroidery work is done by hand. A sewing machine is used for professional seams only.
JURIED SHOW	Glass / Mosaic	kyle	keeler	Visionary Glass	www.visionaryglassarts.com	I create hand blown lampwork borosilicate glass art using a torch, glass rods, and metal fume.
JURIED SHOW	Glass / Mosaic	Maegan	Wilson	JM Glass Studio	https://www.JMGlassStudio.com	Kiln fired glass. Glass is fired multiple times at various temperatures for desired textures & cold-worked. Larger wall art has a powder coated, steel frame, designed specifically for each piece.
JURIED SHOW	Jewelry	Davide	aidien shapiro	American Princess	n/a	from sheet silver,which i pencil draw on.then cut&dome.polishing machine,etching tools,hand tools,hand drill,hand torch, where solder is applied.clasps i make.  my studio is located in upstate new york
JURIED SHOW	Jewelry	Katie	Aldrich	n/a	n/a	We excel at all metalworking skills. Materials include silver, gold, copper& brass and semi-precious/precious gemstones. Special techniques include etching, Keum Boo, granulation, and patination.
JURIED SHOW	Jewelry	Julia	Benson-Slaughter	Noctua Designs LLC	http://noctuadesigns.com	Handcrafted artisan jewelry, including my lampworked glass pendants/beads & metalworked pieces, plus chainmaille, semiprecious stones, & found/upcycled/Fair Trade components, in unique combinations.
JURIED SHOW	Jewelry	Treffry	Caldwell	Pluma Jewelry	https://www.plumajewelry.com	Semi-precious gemstones and minerals are hand chosen for their unique qualities. I then cut and shape them or leave them raw to set in hand forged irregular bezel settings unique to each stone
JURIED SHOW	Jewelry	Emelisa	Cantero	n/a	https://www.etsy.com/shop/IchaCantero	I make handmade jewelry with polymer clay. The process is the following: I prepare the clay by conditioning it, paint it using different techniques, cut it and hand mold it. I bake, design & assemble
JURIED SHOW	Jewelry	Adrianna	D'Angelo	The Bleu Giraffe	https://www.adriannadangelo.com	Half awake dreams provide design. Each clearer than the last. Brilliant Silver.Flaming Copper. Stones that could make the moon jealous. Cut.Hammer.Pierce.Texture.Form.Fuse.Torch. Saw.Polish.Complete
JURIED SHOW	Jewelry	Abigail	Fincannon	Mettle by Abby	n/a	Every piece of Mettle is handmade with sterling silver and 14k gold, natural gemstones and diamonds. Every piece is one of a kind and expertly created!
JURIED SHOW	Jewelry	Mako	Friedenberg	Green Elements -La tagua	http://www.latagua.info	La Tagua is an Amazon nut with a smooth white finish after it is tumbled and buffed. We use a full wood workshop of tools to cut and shape our parts and eco dyes.
JURIED SHOW	Jewelry	Tina	Goolsby	Pieces Past	www.piecespast.com	I create beautiful keepsake jewelry from porcelain china and vintage silverware. I use diamond saws and grinders to cut each unique piece then I finish each one with silversmithing techniques.
JURIED SHOW	Jewelry	Jenna	Hirt	Tying Tribes	n/a	I hand weave 4-164 stands of fiber together to create all original patterns & adorn with my handmade glass/ceramic beads I create in my studio & with pendants I collect on my world travels.
JURIED SHOW	Jewelry	Jorge	Lastra	THR Barcelona USA LLC	www.thrbarcelonausa.com	I work in sculpture and glass. The technique is small-scale forged iron and hand-painted glass jewelry. All pieces are worked by hand in my workshop, making each unique by design and production.
JURIED SHOW	Jewelry	LeAnne	Marquis	Marquis Jewelry LLC	https://www.marquisjewelry.com	Using only a torch on copper, I create vibrant colors & patterns. I hand cut my shapes/designs to create my unique jewelry. Many pieces are complemented w/ gemstones that I bezel set in fine silver.
JURIED SHOW	Jewelry	LILIANA	OLMOS	Olmox - Fine Filigree Jewelry	https://olmox.com	I blend modern design with the antique technique of filigree. Using fine threads of silver and gold I create unique, timeless jewelry that ranges from statement pieces to jewelry for every day.
JURIED SHOW	Jewelry	Stephanie	Peebles	Stephanie Leigh Jewelry	Www.stephanieleighjewelry.com	Made by hand with the spirit in mind, I craft my jewelry using metaphysical gemstones, ethically sourced recycled leather, & antique pendants. I use fair-trade beads sourced from small batch artisans.
JURIED SHOW	Jewelry	Tiana	Saul	Sayuri Designs	sayuridesigns.com	Handmade, one of a kind jewelry comprised of precious and semi precious stones and metals, and antique, found, and reused material. Constructed by wirewrapping, stringing, and soldering techniques.
JURIED SHOW	Jewelry	Jill	Sharp	Blue Piranha	www.bluepiranhajewelry.com	Sterling silver flows around colorful gems in swirling patterns that make the most of positive and negative space, evoking a sense of movement. I use traditional fabrication techniques.
JURIED SHOW	Jewelry	Michele	Throne	Sidhe Designs	www.sidhedesigns.com	A hand held jewelerâ€™s saw is used to create imagery with silver, gold and bronze. Other techniques include Keumboo, stone setting, texturing. soldering and patination to create contrast.
JURIED SHOW	Leather	Alejandra	Avila	n/a	www.alejaavila.com	Handcrafted leather handbags made out of genuine leather combined with fibers.
JURIED SHOW	Leather	Remon	Bebawy	Remon	http://oriental-leather-art.com	I am doing leather art sculpture, I am using genuine leather, molds, tools, I am doing a lot of treatments for leather and I am using the tools to do the shap, every art piece can be with frame or wit
JURIED SHOW	Leather	Brian	Joyner	Hang Over Guitar Straps	www.etsy.com/shop/hangoverguitarstraps	I create fine handmade guitar straps using premium leathers and fabrics. My straps are proudly worn by amateur and professional musicians around the world.
JURIED SHOW	Leather	Jon	Ladd	Jon Ladd Leather	www.jonladdleather.com	Artist designed English Bridle leather bags folded into delicate forms & riveted for strength/beauty, soft rugged functional shoulder & hand bags, Finest hand worked custom fit English Bridle belts.
JURIED SHOW	Leather	Muriel	Luxemburger	Atelier Luxembourg	www.atelierluxembourg.com	Unique and authentic French Designer collection of handbags entirely made by hand in Atlanta with the finest leathers and rare vintage canvas.
JURIED SHOW	Leather	Melissa	Steurer	Steurer & Co.	www.Steurer.co	Located in Louisville, Steurer & Co. is a designer & manufacturer of small batch handcrafted leather totes, satchels & accessories made from veggie tan US steer hide & solid brass hardware.
JURIED SHOW	Leather	Jonathon	Wye	Jonathon Wye, LLC	http://www.jonwye.com	Handmade graphic leather goods featuring original artwork. Belts with the animals and foliage of Asia, Africa, and North America. Wallets with robots battling monsters. All handmade in Washington DC
JURIED SHOW	Metalwork	Nelms	Creekmur	n/a	n/a	As a blacksmith, I use a propane forge to heat stock and reclaimed metal to a bright orange, and then I hammer out harpoon style fire pokers, outdoor fire boxes, and RR spike door knockers.
JURIED SHOW	Metalwork	Jay	Kim	Jay Kim	n/a	Engraving with a Dremel on brass and copper, patinated with mineral salt solutions and torch flame.
JURIED SHOW	Metalwork	William	Staubach	Daylight Designs	n/a	Sculptures are inspired by the Ikebana art form. Keeping each piece simple yet elegant. Mild steel
JURIED SHOW	Mixed media	nathan	bailey	7art	sevenart.org	I explore photography layering objects, acrylics, oil glazes, Resins, wax, textures and Patinas...
JURIED SHOW	Mixed media	Faryn	Davis	Fernworks	www.fernworks.org	Nature themed art and jewelry which blends hand painted scenes & real specimens into dimensional layers of resin. Each piece is deeply layered then polished into delicate, dreamlike 3-D landscapes.
JURIED SHOW	Mixed media	Taguhi	Erzrumyan	n/a	www.taguhiart.com	I use unique technique to achieve richness by layers and textural overlays. I experiment with variety of media: hot melts acrylics plaster to create powerful textural effects and reflected surfaces.
JURIED SHOW	Mixed media	john	fesken	John W Fesken	www. jwmadman.deviant.com	Emotionally provocative, 3-D theatrical constructions utilizing self-taught painting, sculpture and drawing techniques focusing upon the joys and challenges of the human condition.
JURIED SHOW	Mixed media	Alex	Grimmer	Freaky Record	https://freakyrecord.com	I take old vinyl records and carve out artwork from them. I use a wood burning tool to carve out the record. Each record is made on a different artist, making each record a one of a kind piece.
JURIED SHOW	Mixed media	Katja	Hilton	Amazing & Beautiful Butterflies	abbutterflies.com	We display real Butterflies and Insects.We go through a complex process to rehydrate, mount them out and re-dry them.We make our own frames.We are one of the largest insect displays in the Country.
JURIED SHOW	Mixed media	Dinett	Hok	n/a	http://dinetthok.com/	I love to create mixed media artwork with heavy textures and rich colors that not only captures the world from my perspective, but also incorporates elements of nature in the actual artwork.
JURIED SHOW	Mixed media	Walter	Knoechel	Creative Tables & Decor	https://creativetablesanddecor.com/	Epoxy resin designs in serving trays, lazy susans, coasters, and wall art with an assemblage of industrial gears
JURIED SHOW	Mixed media	david	lasker	n/a	davelasker.com	Furniture, Sculpture and Digital Imagery created and taken by the artist.
JURIED SHOW	Mixed media	Huiying	Lee	Sweet Valley Bonsai	n/a	Select a potential plant, then shape and grow for 5-20 years until it looks like a miniature tree. Each bonsai has its own unique character.
JURIED SHOW	Mixed media	John	Lundy	The Humble Hutch	https://www.etsy.com/shop/TheHumbleHutchCo	I create paper mache and gourd sculptures using materials such as paper, metal, wood, clay and gourds that depict animals, holiday themes and other whimsical characters.
JURIED SHOW	Mixed media	debra	mager	debra mager	debramagermosaics.com	unconventional whimsical 3D mosaics primarily stained glass, beads, vintage materials
JURIED SHOW	Mixed media	Jess	Pierce	n/a	n/a	Sustainably harvested and handmade moss artwork and maintenance-free living walls. Japanese Kokedama.
JURIED SHOW	Mixed media	Henry	Warner	ALCOVE FINE ART	Https://www.hcwarner.com	Unique process combining a mix of painting & texture methods with assemblage of sculpture & debris. Using primarily a concrete grinder,dremel,scroll,miter and jigsaw the use steel,fabric and debris
JURIED SHOW	Painting	SPOON	.	Artwork by Spoon, LLC	https://www.artworkbyspoon.com	Developed a style of painting to blend historic & cultural subjects with a contemporary, minimalistic painting style. Completely composed & painted by hand.
JURIED SHOW	Painting	Lauren	Auld	LtA Creations	Ltacreations@carbonmade.com	Materials -Acrylic paint & pouring medium.   Techniques - different pours include dutch , ring, open cup, flip cup, swipe, strainer, puddle
JURIED SHOW	Painting	Amine	Badr	Amine badr fine art	Aminebadrart.com	After establishing my inspiration, i draw outlines with brush and charcoal. Once i am happy with the base of my painting i add colors and details.
JURIED SHOW	Painting	Charles	Boniface	n/a	n/a	My acrylic paintings and multi-layered works built with bold brushwork and playful energy. Some are rather abstract, others are evocative of the rivers, creeks, and beaches near Savannah and Tybee.
JURIED SHOW	Painting	Dave	Goldman	n/a	www.davegoldman.net	I invent these imaginary scenes in traditional oil on canvas.
JURIED SHOW	Painting	Patsy	Gullett	Sculptured Watercolors	https://hcollegiatelegacy.com	I do 3 dimensional watercolors of historical places, buildings, houses, and colleges.All the orig designs are made by me.I handcut with exacto knife and hand wc each piece.
JURIED SHOW	Painting	Smita	Gupta	Henna tattoo & Face Painting	n/a	Herbal henna tattoo and face paint
JURIED SHOW	Painting	Victoria	Jackson	n/a	https://hwww.victoriajacksonart.com	Acrylic on gallery wrapped canvas. Using palette knife and brush creating layers of color & texture.
JURIED SHOW	Painting	Ana	Jones	Ana's Jazzy Art	n/a	I create whimsical works of art by manipulating, moving, and blowing alcohol inks in a fresh new way that allows me to create animals and flowers that are happy, fun, and vibrant. I work on canvas
JURIED SHOW	Painting	Aziz	Kadmiri	Kadmiri Fine Art	www.kadmirifineart.com	I use acrylic paint on gallery wrapped canvases. Using palette knives and brushes mostly but I also love to play with other tools such as hard plastic boards, rubber spatulas and forks.
JURIED SHOW	Painting	Jessica	Ladd	Jessica Stoddart-Ladd, Artist	www.jessicastoddartladd.com	Oil paintings on wood panel. Rich in color & minimalism, the anonymity of familiar subjects encites the viewer to design their own narrative. Handwrought metal frames intensifies the impact of work.
JURIED SHOW	Painting	Nelson	Perez	Vodka Bacon Studios	https://www.vodkabaconstudios.com	I primarily paint with acrylics, but I have been known to oil it up a bit, and use mix media. My art is a combination of pop, surrealism, contemporary, urban, whimsical influences with a 3D element.
JURIED SHOW	Painting	Chouaieb	Saidi	Saidiart	www.saidiart.com	Originals figurative oil-paintings on cotton canvas, mostly framed. O
JURIED SHOW	Painting	Marisol	Spoon	Marisol Spoon Inc.	Marisolspoon.com	We are a husband/wife artist team inspired by the forest, sea, vintage aesthetics, and classical painting. We offer oil paintings, hand sculpted frames, and archival prints
JURIED SHOW	Painting	Kristin	Thorsen	thorsenart	www.thorsenart.com	MY cityscapes and mountainscapes are fictional, acrylic on panel. All of my work is created spontaneously and are all originals.
JURIED SHOW	Painting	Richard	Webb	Richard F Webb Fine Art	https://www.richardfwebb.com	Using acrylics, texture mediums, and varnishes, I paint photorealistic classic cars on sustainable wood frames using a grid system to capture exact dimensions.
JURIED SHOW	Photography	Michael	Bryant	Michael Bryant	https://www.Michael-Bryant.com	Black & White Film shot in a plastic toy camera called a Holga. NOT CREATED IN PHOTOSHOP.
JURIED SHOW	Photography	Shaun	Krisher	Epic Photography Atlanta	epicphotoatl.com	Digital photography using traditional photography technique. I use long exposure and flash to create larger than life images. My work is printed on paper and metal for vibrance and clarity.
JURIED SHOW	Photography	Glenn	Lewis	Glenn Lewis Photography	www.glennlewisphotography.com	I travel the world, taking landscape, wildlife, and travel photos. I use Photoshop in a minimal way to create classic, realistic images. I show large work, on aluminum and acrylic at up to 6' x 24'.
JURIED SHOW	Photography	Max	McDonough	Time Ghost Photography	https://timeghostphoto.com/	Artistic photography rooted in practical camera techniques, particularly long exposures. Products include prints on aluminum and paper, lenticular ornaments, and backlit image transfer on plastic.
JURIED SHOW	Photography	Michael	Schuier	Schuier Photography	https://www.schuierphotography.com/	I'm a nature photographer specializing in classic American landscapes. Using a medium format camera I create unique perspective prints ranging from 11&quot;x17&quot; - 70&quot;x130.&quot; All Photos printed on aluminum.
JURIED SHOW	Photography	Karen	Varsha	1951	n/a	I am a local photographer shooting with Holga and SLR cameras. The prints are typically on color and black and white matte photography paper. Subjects for this show will be mainly still life images.
JURIED SHOW	Woodwork	Ana Maria	Barragan	Ana A	https://www.anaeyewear.co	Wooden accessories:  All my work is made with tropicals woods and exotic woods.  I paint with resin and layers of wood making landscapes and forms.  Cuff, pendants, rings, bracelets, frames.
JURIED SHOW	Woodwork	Andy	Costine	ARC Woodworking	https://costineandy.simdif.com	I combine figured burls with geometric shapes.I believe this elevates the natural edge material.
JURIED SHOW	Woodwork	scott	mattison	Mattison Woodworks, LLC	Mattisonwoodworks.com	Hand Crafted Heirloom Quality wood furniture and kitchen items.
JURIED SHOW	Woodwork	Jeffrey	Nelson	Hudson River Inlay	www.hudsonriverinlay.com	Marquetry: the fine art of wood inlay. Design an image; select the woods (and shells and stones) based on hues, grains & textures. Cut & inlay each piece. Glue, sand, press and finish with a lacquer.
JURIED SHOW	Woodwork	Drew	Oxford	Ox in the Shop	https://www.oxintheshop.com	I use both domestic and exotic woods and turn them on a lathe to make one of a kind works of art such as salad bowls of various complexity as well as other woodturned items.
JURIED SHOW	Woodwork	Pamela	Regal	n/a	Rockndesigns.com	Hand cut wood, shaped into musical instruments. Hand painted and coated with a 2 part epoxy for durability. Tables, barstools, clocks and fold up tv tables. Each piece of functional art is unique.
JURIED SHOW	Woodwork	DERIK	VANVLEET	VanVleet Woodworking llc	www.vanvleetwoodworking.com	100% handcrafted custom furniture using solid hardwoods, all sourced here in Atlanta. I sell mostly commissioned pieces to local Atlanta residents.
NON-JURIED SHOW	Ceramics	Meredith	Bradley	City in Bloom Ceramics	https://cityinbloomceramics.com	My work is composed of wheel thrown & handbuilt porcelain forms, screenprinted with hand drawn illustrations with underglaze. Fired to cone 6, some are fired for a third time with gold/silver decals.
NON-JURIED SHOW	Ceramics	Lori	Buff	Future Relics	http://FutureRelicsGallery.com	I am a full-time potter. Using the potters wheel & handbuilding techniques, I make mostly functional pottery. My work is decorated with imagery & texture using a variety of firing methods.
NON-JURIED SHOW	Ceramics	Valerie	Costanza	Mind Body Clay	https://www.valeriecostanza.org	Mind Body Clay features all handcrafted fine art ceramic pottery and unique home decor pieces. All ceramic work is made from stoneware & porcelain, hand formed, glazed & draws inspiration from nature.
NON-JURIED SHOW	Ceramics	Karen	Fincannon	Artworks by Karen Fincannon	www.karenfincannon.com	I handbuild my sculptures from earthenware clay. Textures are created using a variety of texture tools, some I have made myself, others are purchased rubber stamps. The pieces are bisque fired and fin
NON-JURIED SHOW	Ceramics	Tami	Fulford	Handmade Studio	http://tamifulford.com/	Ceramics: Black and white functional and sculptural ceramics. Each piece has a unique hand carved image. In addition we offer colorful ceramic jewelry.
NON-JURIED SHOW	Ceramics	Russ	Gerber	A Russell Gerber Ceramics	https://www.instagram.com/arussellgerber/	Stoneware clay was thrown on the wheel, original decorations and patterns created, and firing was done using traditional kiln techniques (including raku and wood fire).
NON-JURIED SHOW	Ceramics	elizabeth	hanes	Beauty and Beast Art	www.chickentracksartranch.com	All original functional and decorative pottery. Thrown and handbuilt stoneware vessels and sculpture. Electric fired to cone 6 and also naked raku firing technique.
NON-JURIED SHOW	Ceramics	Jensen	Harris	After Hours Pottery	www.instagram.com/afterhourspottery	I value the quirks that make people special, and follow the same approach in my design. Rather than striving for exact replications, I use techniques that allow the clays personality to shine through.
NON-JURIED SHOW	Ceramics	Marisa	Mahathey	n/a	marisamahathey.com	I create bold and fun tableware that is wheel thrown and hand decorated with a focus on design, color, narrative.
NON-JURIED SHOW	Ceramics	Kate	O'Toole	Kiln.it.ATL pottery	https://www.instagram.com/kiln.it.atl/	Wheel thrown and handbuilt functional pottery. My work is inspired by texture, pattern, and nature to create beautiful works of art for use in every day life.
NON-JURIED SHOW	Ceramics	Masayuki	Sasaki	n/a	https://www.masasasakiceramics.com	I make unique one of a kind handmade pottery pieces that are mostly wheel thrown, trimmed, glazed and fired in electric kiln for completion. All my pieces are my original design and user friendly.
NON-JURIED SHOW	Ceramics	Dr. Patrick	Schloss	Schloss Pottery	n/a	We throw the works on a traditional wheel and shape all of our pieces by hand. We formulate our own glazes. Despite these traditions, our work will stand the challenge of use in microwave ovens, tra
NON-JURIED SHOW	Ceramics	Brittany	Schwartzwald	B. Hart Art	n/a	I am a native Atlantian who lives in Candler Park. I make small batch functional ceramic goods such as mugs, bowls, serving pieces, to-go coffee cups, vases. I have a clean modern aesthetic.
NON-JURIED SHOW	Consumables	Sindy	Anderson	Sinfully Sweet Soap	www.sinfullysweetsoap.com	Artisan Gourmet Goat Milk Soaps, Lotions, Scrubs, Bath Bombs, Bath Bomb Cupcakes, Cupcake Soaps &more! We've done the show 3 years now & love attending and Vending
NON-JURIED SHOW	Consumables	Casey	Barnett	Uncorked Candles	n/a	Uncorked Candles creates amazingly aromatic candles hand poured into recycled, repurposed beer, wine and liquor bottle containers.
NON-JURIED SHOW	Consumables	BECKY	Battle	Thyme to Garnish	www.thymetogarnish.com	Thyme to Garnish creates hand-blended, naturally dehydrated vegetables, herbs, spices, nuts and seeds into mixes that can be added to pantry and/or refrigerator items to enhance everyday foods.
NON-JURIED SHOW	Consumables	Paul	Bruschi	Jack Be Nimble Candles, LLC	https://www.jackbenimblecandles.com	We hand-pour each of our candles in batches of 12 in our studio in Atlanta. All of our candles are made using American grown soy wax, all natural cotton wicks & fine fragrance oils.
NON-JURIED SHOW	Consumables	PJ	Carroll	Lit Up Candle Co.	https://litupcandleco.com	Using a 4-step, cold-working process, we upcycle beer and wine bottles into soy candles, planters and serving dishes. Our soy candles, wax melts, and room sprays are made with 100% organic fragrance.
NON-JURIED SHOW	Consumables	Cassie	Carter	Cheeky Maiden Soap Co	www.cheekymaidensoap.com	Cheeky Maiden Soap produces hand crafted all natural soap, body care products and household cleaning supplies using local, organic and sustainable raw materials.
NON-JURIED SHOW	Consumables	JuVette	Cooper	DeJu LLC	http://www.grandmashoneystuff.com	We have a packaged raw honey infused with fruits, vegetables, and spices. I'm pretty sure that you may already have a honey vendor, but please keep in mind that this is not your ordinary infused honey
NON-JURIED SHOW	Consumables	Michael	Crum	Smack Yo Mama Gourmet BBQ Sauce	https://www.smackyomama.com	We produce 7 gluten, high-fructose corn syrup and MSG free bbq sauces by combining ingredients in a steam kettle then bottling. we also have a salt free all purpose dry seasoning we combine by hand.
NON-JURIED SHOW	Consumables	LANIKA	DANCY	LUMERIA BOD	www.lumeriabodycare.com	Our plant-based, cruelty free, luxury self care products handcrafted with premium ingredients include soaps, herb infused moisturizers, bath bombs and soaks, candles, room & linen sprays and more!
NON-JURIED SHOW	Consumables	Olivia	Gonzalez	True & Radiant	https://www.trueandradiant.com/	True & Radiant is a handmade line of all natural and organic skincare and hair care products made with the finest natural and organic cosmetic ingredients. I make everything by hand in small batches.
